
Processing ~/Work/PrelimDM/FindStableParticles.C("~/blah.root")...

 
  Index PID Status IsPU  M1   M2     D1     D2 Charge  Mass       E        Px         Py       Pz          P        PT      Eta        Phi     Rapid     CtgTheta     D0      DZ      T       X       Y       Z
 1740  -2212    1    0 1335    -1     -1     -1  -1     0.94     18.80      3.94     -3.27     18.07     18.78      5.12      1.97     -0.69      1.96      3.53     -0.00    0.00    0.00    0.00    0.00    0.00
 1741   -211    1    0 1335    -1     -1     -1  -1     0.14      3.08      0.68     -0.67      2.93      3.08      0.96      1.84     -0.78      1.83      3.06     -0.00    0.00    0.00    0.00    0.00    0.00
 1742    211    1    0 1339    -1     -1     -1   1     0.14      3.69      0.55     -0.43      3.62      3.69      0.70      2.35     -0.66      2.33      5.21     -0.00    0.00    0.00    0.00    0.00    0.00
 1743   -211    1    0 1339    -1     -1     -1  -1     0.14      0.94      0.18      0.23      0.88      0.93      0.29      1.83      0.90      1.73      3.05      0.00    0.00    0.00    0.00    0.00    0.00
 1744   2212    1    0 1340    -1     -1     -1   1     0.94     11.03      0.97      0.09     10.94     10.99      0.98      3.11      0.09      2.79     11.18      0.00    0.00    0.00    0.00    0.00    0.00
 1745    211    1    0 1340    -1     -1     -1   1     0.14      5.52      0.27     -0.13      5.51      5.52      0.30      3.61     -0.43      3.51     18.38     -0.00    0.00    0.00    0.00    0.00    0.00
 1746  -2212    1    0 1341    -1     -1     -1  -1     0.94     28.87      2.33      1.79     28.70     28.85      2.94      2.98      0.65      2.93      9.78      0.00    0.00    0.00    0.00    0.00    0.00
 1747   -211    1    0 1341    -1     -1     -1  -1     0.14      4.30      0.41      0.11      4.27      4.29      0.42      3.01      0.27      2.96     10.16      0.00    0.00    0.00    0.00    0.00    0.00
 1958     22    1    0 1336    -1     -1     -1   0     0.00      0.63      0.10     -0.16      0.60      0.00      0.19      1.87     -1.00      1.87      0.00      0.00    0.00    0.00    0.00    0.00    0.00
 1960     22    1    0 1337    -1     -1     -1   0     0.00      0.51     -0.00     -0.04      0.50      0.00      0.04      3.18     -1.64      3.18      0.00      0.00    0.00    0.00    0.00    0.00    0.00
 2302   2112    1    0 1957    -1     -1     -1   0     0.94     10.51      1.95     -1.41     10.19      0.00      2.40      2.15     -0.63      2.08      0.00      0.00    0.00    0.00   55.74  -38.92  277.16
 2304  -2212    1    0 1959    -1     -1     -1  -1     0.94      7.74      1.12     -0.44      7.58      7.68      1.21      2.54     -0.37      2.31      6.29     -3.98   15.52    0.00   41.31  -13.84  288.49
 2305    211    1    0 1959    -1     -1     -1   1     0.14      1.98      0.24     -0.02      1.96      1.97      0.24      2.78     -0.07      2.64      8.00     18.42  -27.26    0.00   41.31  -13.84  288.49
